x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
5,4,0.785,0.087,True,2.55,0.648,0.344,0.389,0.492,0.432,0.565,1,low,residential_low,False
6,4,0.861,0.076,True,1.581,0.705,0.375,0.488,0.552,0.453,0.636,1,low,residential_low,False
7,4,0.921,0.06,True,0.707,0.758,0.405,0.505,0.589,0.443,0.648,1,low,residential_low,False
8,4,0.966,0.066,True,0.707,0.767,0.431,0.52,0.605,0.446,0.651,1,low,residential_low,False
9,4,0.993,0.076,True,1.581,0.733,0.455,0.616,0.62,0.495,0.702,1,low,residential_low,False
10,4,1.002,0.085,True,2.55,0.693,0.475,0.564,0.595,0.487,0.683,1,low,residential_low,False
11,4,0.994,0.093,True,3.536,0.652,0.491,0.484,0.562,0.468,0.64,1,low,residential_low,False
12,4,0.971,0.099,True,4.526,0.608,0.503,0.492,0.547,0.486,0.643,1,low,residential_low,False
13,4,0.934,0.104,True,5.517,0.563,0.51,0.538,0.541,0.518,0.669,1,low,residential_low,False
14,4,0.887,0.105,True,6.508,0.516,0.512,0.569,0.528,0.546,0.686,1,low,residential_low,False
15,4,0.831,0.106,True,7.499,0.467,0.51,0.695,0.537,0.612,0.762,1,low,residential_low,False
16,4,0.772,0.104,True,7.896,0.446,0.503,0.731,0.534,0.633,0.783,1,low,residential_low,False
17,4,0.712,0.099,True,7.21,0.475,0.491,0.731,0.544,0.624,0.784,1,low,residential_low,False
18,4,0.654,0.093,True,6.523,0.502,0.475,0.66,0.533,0.587,0.739,1,low,residential_low,False
19,4,0.602,0.086,True,5.836,0.528,0.455,0.671,0.542,0.583,0.746,1,low,residential_low,False
20,4,0.558,0.076,True,5.15,0.553,0.431,0.645,0.539,0.564,0.73,1,low,residential_low,False
21,4,0.524,0.066,True,4.463,0.577,0.405,0.436,0.49,0.473,0.595,1,low,residential_low,False
22,4,0.499,0.056,True,3.776,0.6,0.375,0.43,0.49,0.463,0.59,1,low,residential_low,False
23,4,0.484,0.045,True,3.09,0.622,0.344,0.429,0.49,0.456,0.588,1,low,residential_low,False
24,4,0.478,0.035,True,2.403,0.643,0.31,0.539,0.517,0.493,0.657,1,low,residential_low,False
25,4,0.479,0.026,True,1.717,0.664,0.275,0.523,0.512,0.48,0.645,1,low,residential_low,False
26,4,0.485,0.018,True,1.03,0.684,0.238,0.569,0.522,0.521,0.679,1,low,residential_low,False
27,4,0.492,0.009,True,0.343,0.704,0.2,0.676,0.546,0.587,0.751,1,low,residential_low,False
28,4,0.497,0.005,True,0.5,0.682,0.161,0.696,0.529,0.631,0.764,1,low,residential_low,False
