x,y,height,slope,buildable,distance_to_road,accessibility,state,density,type,is_tower
6,10,1.106,0.14,True,2.229,0.74,2,medium,residential_medium,False
7,10,1.231,0.125,True,1.239,0.803,2,medium,residential_medium,False
8,10,1.34,0.109,True,0.248,0.865,2,medium,residential_medium,False
9,10,1.427,0.087,True,0.743,0.855,2,medium,residential_medium,False
10,10,1.491,0.071,True,1.734,0.82,2,medium,residential_medium,False
11,10,1.531,0.078,True,2.725,0.783,2,medium,residential_medium,False
12,10,1.545,0.084,True,3.716,0.745,2,medium,residential_medium,False
13,10,1.534,0.087,True,4.706,0.703,3,high,urban_high,False
14,10,1.5,0.09,True,4.427,0.719,3,high,urban_high,False
15,10,1.445,0.09,True,3.923,0.741,2,medium,residential_medium,False
16,10,1.372,0.087,True,3.419,0.759,2,medium,residential_medium,False
17,10,1.286,0.095,True,2.847,0.778,2,medium,residential_medium,False
18,10,1.191,0.099,True,2.161,0.799,2,medium,residential_medium,False
19,10,1.092,0.099,True,1.474,0.82,2,medium,residential_medium,False
20,10,0.993,0.099,True,0.788,0.839,2,medium,residential_medium,False
21,10,0.898,0.095,True,0.101,0.858,2,medium,residential_medium,False
22,10,0.809,0.089,True,0.586,0.819,2,medium,residential_medium,False
23,10,0.729,0.08,True,1.272,0.771,2,medium,residential_medium,False
24,10,0.659,0.07,True,1.959,0.722,1,low,residential_low,False
25,10,0.599,0.06,True,2.646,0.673,1,low,residential_low,False
26,10,0.547,0.052,True,3.332,0.624,1,low,residential_low,False
27,10,0.502,0.045,True,4.019,0.574,1,low,residential_low,False
28,10,0.461,0.041,True,4.705,0.525,1,low,residential_low,False
29,10,0.421,0.04,True,5.392,0.475,0,none,forest,False
0,11,0.204,0.148,True,8.309,0.356,0,none,forest,False
1,11,0.352,0.157,True,7.319,0.42,0,none,forest,False
2,11,0.509,0.161,True,6.328,0.484,1,low,residential_low,False
3,11,0.67,0.162,True,5.337,0.548,1,low,residential_low,False
4,11,0.832,0.162,True,4.346,0.613,2,medium,residential_medium,False
5,11,0.988,0.156,True,3.355,0.677,2,medium,residential_medium,False
6,11,1.136,0.148,True,2.364,0.74,2,medium,residential_medium,False
7,11,1.27,0.134,True,1.374,0.804,2,medium,residential_medium,False
8,11,1.386,0.116,True,0.383,0.867,2,medium,residential_medium,False
9,11,1.481,0.095,True,0.608,0.871,2,medium,residential_medium,False
10,11,1.553,0.072,True,1.599,0.838,2,medium,residential_medium,False
11,11,1.598,0.067,True,2.59,0.803,3,high,urban_high,False
12,11,1.617,0.072,True,3.58,0.766,3,high,urban_high,False
13,11,1.609,0.075,True,4.067,0.75,3,high,urban_high,False
14,11,1.577,0.077,True,3.563,0.777,5,none,plaza,False
15,11,1.522,0.077,True,3.059,0.799,5,none,plaza,False
16,11,1.447,0.089,True,2.555,0.815,2,medium,residential_medium,False
17,11,1.358,0.1,True,2.051,0.829,3,high,urban_high,False
18,11,1.258,0.105,True,1.434,0.846,3,high,urban_high,False
19,11,1.153,0.106,True,0.747,0.865,2,medium,residential_medium,False
20,11,1.047,0.106,True,0.061,0.883,2,medium,residential_medium,False
21,11,0.944,0.103,True,0.626,0.84,2,medium,residential_medium,False
22,11,0.847,0.097,True,1.313,0.791,2,medium,residential_medium,False
23,11,0.759,0.088,True,1.999,0.742,2,medium,residential_medium,False
24,11,0.681,0.078,True,2.686,0.692,2,medium,residential_medium,False
25,11,0.613,0.068,True,3.373,0.643,1,low,residential_low,False
26,11,0.554,0.059,True,4.059,0.593,1,low,residential_low,False
27,11,0.502,0.052,True,4.746,0.544,1,low,residential_low,False
28,11,0.455,0.047,True,5.432,0.494,0,none,forest,False
29,11,0.41,0.045,True,6.119,0.444,0,none,forest,False
0,12,0.196,0.152,True,8.445,0.352,0,none,forest,False
1,12,0.348,0.162,True,7.454,0.417,0,none,forest,False
2,12,0.51,0.166,True,6.463,0.481,1,low,residential_low,False
3,12,0.676,0.167,True,5.472,0.546,1,low,residential_low,False
4,12,0.843,0.167,True,4.481,0.61,2,medium,residential_medium,False
5,12,1.006,0.163,True,3.49,0.675,2,medium,residential_medium,False
6,12,1.16,0.154,True,2.5,0.739,2,medium,residential_medium,False
7,12,1.301,0.141,True,1.509,0.803,2,medium,residential_medium,False
8,12,1.423,0.122,True,0.518,0.867,2,medium,residential_medium,False
9,12,1.525,0.102,True,0.473,0.885,2,medium,residential_medium,False
10,12,1.602,0.077,True,1.464,0.853,3,high,urban_high,False
